# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 8.389258873648941517e-04 1.632496481761336327e-03 4.945270717144012451e-03 2.102611027657985687e-02 4.476220160722732544e-02 5.481903906911611557e-03 8.389258873648941517e-04 1.632496481761336327e-03 4.945270717144012451e-03 2.102611027657985687e-02 4.476220160722732544e-02 5.481903906911611557e-03
1.000000000000000000e+02 1.049381098710000515e-03 2.196165733039379120e-03 7.623644080013036728e-03 1.797365956008434296e-02 3.348242491483688354e-02 5.033537745475769043e-03 1.049381098710000515e-03 2.196165733039379120e-03 7.623644080013036728e-03 1.797365956008434296e-02 3.348242491483688354e-02 5.033537745475769043e-03
2.000000000000000000e+02 9.364016586914658546e-04 2.751257736235857010e-03 7.451402023434638977e-03 1.398212555795907974e-02 2.701989933848381042e-02 4.292658064514398575e-03 9.364016586914658546e-04 2.751257736235857010e-03 7.451402023434638977e-03 1.398212555795907974e-02 2.701989933848381042e-02 4.292658064514398575e-03
3.000000000000000000e+02 7.994195329956710339e-04 2.818808658048510551e-03 6.146562751382589340e-03 1.110211573541164398e-02 2.269421331584453583e-02 3.446774324402213097e-03 7.994195329956710339e-04 2.818808658048510551e-03 6.146562751382589340e-03 1.110211573541164398e-02 2.269421331584453583e-02 3.446774324402213097e-03
4.000000000000000000e+02 1.022068085148930550e-03 2.743700519204139709e-03 4.663750529289245605e-03 8.634590543806552887e-03 2.250023745000362396e-02 2.826719544827938080e-03 1.022068085148930550e-03 2.743700519204139709e-03 4.663750529289245605e-03 8.634590543806552887e-03 2.250023745000362396e-02 2.826719544827938080e-03
5.000000000000000000e+02 8.478367235511541367e-04 2.201098017394542694e-03 4.006015602499246597e-03 6.674414966255426407e-03 1.415934693068265915e-02 2.152388449758291245e-03 8.478367235511541367e-04 2.201098017394542694e-03 4.006015602499246597e-03 6.674414966255426407e-03 1.415934693068265915e-02 2.152388449758291245e-03
6.000000000000000000e+02 8.119838894344866276e-04 1.811212394386529922e-03 2.882880857214331627e-03 5.019030999392271042e-03 9.597065858542919159e-03 1.615568646229803562e-03 8.119838894344866276e-04 1.811212394386529922e-03 2.882880857214331627e-03 5.019030999392271042e-03 9.597065858542919159e-03 1.615568646229803562e-03
7.000000000000000000e+02 7.389964885078370571e-04 1.463662367314100266e-03 2.168946899473667145e-03 3.716576611623167992e-03 5.722747649997472763e-03 1.148915733210742474e-03 7.389964885078370571e-04 1.463662367314100266e-03 2.168946899473667145e-03 3.716576611623167992e-03 5.722747649997472763e-03 1.148915733210742474e-03
8.000000000000000000e+02 6.533128325827419758e-04 1.135744969360530376e-03 1.662811846472322941e-03 2.842273097485303879e-03 4.141271114349365234e-03 8.541886345483362675e-04 6.533128325827419758e-04 1.135744969360530376e-03 1.662811846472322941e-03 2.842273097485303879e-03 4.141271114349365234e-03 8.541886345483362675e-04
9.000000000000000000e+02 8.680193568579852581e-04 1.327513367868959904e-03 1.956504303961992264e-03 9.219837374985218048e-03 4.673860967159271240e-03 1.092500868253409863e-03 8.680193568579852581e-04 1.327513367868959904e-03 1.956504303961992264e-03 9.219837374985218048e-03 4.673860967159271240e-03 1.092500868253409863e-03
1.000000000000000000e+03 5.045061116106808186e-04 7.891804561950266361e-04 1.100234338082373142e-03 2.015373669564723969e-03 2.971953479573130608e-03 5.652139661833643913e-04 5.045061116106808186e-04 7.891804561950266361e-04 1.100234338082373142e-03 2.015373669564723969e-03 2.971953479573130608e-03 5.652139661833643913e-04
1.100000000000000000e+03 4.684613668359816074e-04 7.030290435068309307e-04 9.513508994132280350e-04 1.785024651326239109e-03 2.668592613190412521e-03 4.906682297587394714e-04 4.684613668359816074e-04 7.030290435068309307e-04 9.513508994132280350e-04 1.785024651326239109e-03 2.668592613190412521e-03 4.906682297587394714e-04
1.200000000000000000e+03 4.562998656183481216e-04 6.483350298367440701e-04 8.357772021554410458e-04 1.652265083976089954e-03 2.440665150061249733e-03 4.369126108940690756e-04 4.562998656183481216e-04 6.483350298367440701e-04 8.357772021554410458e-04 1.652265083976089954e-03 2.440665150061249733e-03 4.369126108940690756e-04
1.300000000000000000e+03 4.195597430225461721e-04 6.028292118571698666e-04 7.431198027916252613e-04 1.493672723881900311e-03 2.252297708764672279e-03 4.021799541078507900e-04 4.195597430225461721e-04 6.028292118571698666e-04 7.431198027916252613e-04 1.493672723881900311e-03 2.252297708764672279e-03 4.021799541078507900e-04
1.400000000000000000e+03 9.763450943864881992e-04 1.327198464423418045e-03 9.145052172243595123e-04 2.201949479058384895e-03 3.011828288435935974e-03 4.336080746725201607e-04 9.763450943864881992e-04 1.327198464423418045e-03 9.145052172243595123e-04 2.201949479058384895e-03 3.011828288435935974e-03 4.336080746725201607e-04
